battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,touch_screen,wifi,network_2G,network_3G,network_4G,network_5G,price_range,price
885,1,2.6,1,4,1,5,0.6,184,8,1,1762,1761,782,16,12,2,0,0,0,0,0,1,3,107513
1715,0,2.2,0,17,1,64,0.2,153,1,17,747,784,3078,13,5,16,1,1,0,1,0,0,0,4584
1455,1,1.6,0,9,0,10,0.9,161,7,9,463,1560,3692,7,13,9,0,0,0,1,0,0,0,5797
776,0,2.2,0,18,1,8,0.4,98,2,9,753,602,1208,19,14,6,0,0,0,1,0,0,0,4786
1684,0,1.2,1,11,0,51,0.9,150,6,5,1840,1953,553,16,13,15,0,0,0,0,1,0,1,12512
959,1,1.3,0,17,0,9,0.8,136,4,11,582,1291,1032,14,3,19,1,1,1,0,0,0,0,3918
1837,1,2.5,1,16,0,44,0.8,226,3,16,157,738,616,19,17,4,0,1,0,1,0,0,0,7222
521,0,1.6,0,10,0,8,0.6,158,6,12,18,1240,3973,14,0,3,1,0,0,1,0,0,0,2151
752,0,2.5,1,2,0,42,0.7,248,1,19,54,1144,759,5,11,17,1,0,0,1,0,0,0,3574
1247,0,2.6,0,16,0,41,0.7,121,5,15,1979,1648,2232,19,8,15,1,1,0,0,0,1,2,49412
1356,0,2.6,0,0,1,4,0.7,195,8,9,1750,1381,2891,15,9,17,0,1,0,1,0,0,0,4065
974,1,2.8,1,14,1,18,0.6,83,7,20,1991,1106,2333,9,20,12,1,0,1,0,0,0,0,7735
1582,1,1.6,0,8,1,3,1.0,83,7,1,720,687,1718,11,17,18,0,1,0,0,0,1,3,121201
1010,1,1.3,0,14,1,16,0.8,84,2,1,1044,1387,3667,16,16,4,0,1,1,0,0,0,0,7164
1999,1,2.0,0,2,0,47,0.8,120,2,6,1305,1779,2429,8,18,6,0,0,0,0,0,1,3,77496
1199,1,1.4,0,18,0,30,0.9,187,1,5,760,1486,851,13,3,4,0,0,0,0,0,1,3,92319
1475,0,2.0,0,12,1,51,0.3,166,4,0,1563,1423,1845,10,15,16,1,1,0,0,1,0,0,8789
689,1,2.3,0,11,1,49,0.2,183,7,11,1018,1293,1645,10,6,6,0,1,0,0,0,1,3,114184
1457,1,2.2,0,19,1,53,0.5,196,6,12,1958,1029,2131,7,8,4,1,0,0,0,0,1,3,87119
1186,1,1.4,1,0,1,23,0.6,180,2,11,1440,1175,3770,14,7,7,1,1,1,0,0,0,0,8753
1457,1,0.9,1,20,1,5,0.8,154,8,18,807,891,518,14,6,15,0,0,1,0,0,0,0,7732
1062,1,1.6,0,16,1,58,0.5,154,8,8,722,1991,3239,9,9,3,0,0,0,1,0,0,0,7640
1767,0,0.9,0,12,1,53,0.6,92,1,9,284,1776,3175,14,7,19,1,1,0,0,1,0,1,15725
1331,0,2.7,0,0,1,7,0.6,221,4,16,1555,1171,3549,10,16,7,1,0,0,0,0,1,2,37802
1654,0,1.4,1,9,0,39,0.1,104,1,17,1555,1360,2119,18,11,6,0,0,0,0,1,0,1,17694
1146,1,0.9,1,14,0,27,0.7,194,1,7,510,1699,257,20,13,15,0,0,0,1,0,0,0,2803
520,0,0.6,0,6,0,12,0.8,161,4,6,1865,965,2189,8,11,18,0,0,0,0,1,0,1,13592
1340,0,2.1,1,17,0,27,0.2,89,4,8,1021,1338,649,17,1,12,1,0,0,0,0,1,2,30568
666,1,2.1,0,15,1,18,0.6,129,4,9,1419,1487,561,7,11,2,0,1,1,0,0,0,0,7966
1797,1,1.4,0,13,0,25,0.6,221,8,11,119,1812,1425,9,13,11,0,0,0,0,1,0,1,15305
887,1,0.7,0,17,1,29,0.2,94,8,14,96,1573,785,11,6,10,0,0,0,0,0,1,3,102585
1100,0,1.5,0,6,0,36,0.2,95,1,14,119,503,783,15,12,13,0,0,0,1,0,0,0,2029
815,0,1.3,1,16,1,32,1.0,81,2,3,1560,1351,3635,10,20,2,1,1,0,0,0,1,3,74820
513,1,2.2,1,17,1,14,0.5,237,3,3,1176,1746,1220,6,3,19,1,0,0,0,1,0,1,19232
741,1,2.0,0,11,0,55,0.3,109,3,0,1268,1785,926,5,0,13,0,0,0,0,0,1,2,34036
1276,0,1.4,1,7,0,36,0.3,161,1,11,1795,1034,3667,9,16,3,1,0,0,0,0,1,3,69001
1869,0,1.0,1,1,1,17,0.7,110,1,1,1539,1402,2655,9,2,2,0,0,0,0,1,0,1,16066
1064,1,3.0,0,6,1,16,0.6,156,2,14,392,1899,3113,16,16,2,1,1,0,0,1,0,1,16826
1397,1,1.6,1,3,1,44,0.7,227,4,16,1166,1584,2512,20,7,2,1,1,0,1,0,0,0,6083
1863,0,2.2,0,17,0,19,0.2,193,1,6,1527,1879,1213,20,2,13,0,0,0,0,0,1,3,93723
591,1,0.9,0,5,0,48,0.9,114,7,5,793,1145,2508,20,9,8,0,1,1,0,0,0,0,5691
1890,0,1.7,0,8,1,38,0.5,102,8,11,1870,523,2928,16,1,5,0,1,0,0,1,0,0,6958
1455,0,0.6,0,8,0,49,0.4,185,5,18,1881,1816,1969,10,3,5,0,1,0,0,0,1,3,107836
1978,0,1.8,1,13,1,63,0.5,176,4,0,219,1056,976,7,13,16,1,0,1,0,0,0,0,5479
1951,0,2.9,0,7,0,49,0.5,194,7,20,838,1190,891,20,10,2,0,0,1,0,0,0,0,8641
1008,1,1.5,1,18,0,50,0.9,179,8,13,159,855,1294,5,13,7,0,0,0,0,0,1,2,49125
1275,1,0.6,0,2,0,42,0.9,134,1,3,1099,1369,3161,19,12,15,0,0,0,0,0,1,2,36726
534,0,0.6,0,17,0,28,0.4,87,5,4,610,1440,3755,8,3,15,0,0,0,0,0,1,2,31085
705,0,1.5,1,4,0,56,0.9,247,7,0,1715,1074,2779,8,1,11,0,0,1,0,0,0,0,4407
1604,0,0.9,0,13,1,36,0.8,138,6,0,638,528,2601,14,1,8,0,1,0,0,0,1,2,47721
1911,0,0.6,1,3,1,53,0.9,207,2,20,1055,856,812,6,10,13,1,1,0,0,1,0,1,16362
1525,0,2.4,1,6,0,46,0.3,111,8,5,776,864,1373,18,4,20,0,1,1,0,0,0,0,4723
1521,1,1.6,0,19,1,55,0.6,172,5,4,333,1107,2410,12,8,10,1,1,0,0,1,0,0,3723
1913,1,1.2,0,11,1,36,0.3,86,1,1,1548,908,3746,10,19,4,0,1,0,0,1,0,1,15588
1065,1,2.8,0,1,0,29,0.8,81,3,20,1463,1789,3605,16,20,5,1,0,0,0,0,1,3,115291
1629,1,0.8,0,10,1,40,0.1,164,7,4,891,1814,383,7,16,14,1,0,0,0,1,0,1,18566
2000,0,2.9,0,13,0,62,0.6,213,1,8,939,1066,2249,19,11,11,1,1,0,0,0,1,2,51939
1202,0,1.3,0,15,1,39,0.4,185,3,18,351,1676,2762,20,17,15,0,0,1,0,0,0,0,6116
901,0,2.7,1,19,1,10,0.4,115,2,20,1362,718,293,5,2,7,1,0,0,0,1,0,1,15110
1229,0,2.0,1,5,1,13,0.7,239,2,14,925,672,1888,16,4,9,0,0,0,0,0,1,2,49057
661,0,2.6,0,3,1,16,0.9,124,4,12,1423,1107,453,15,20,20,1,0,0,1,0,0,0,4595
701,1,3.0,1,14,1,22,0.6,121,7,11,395,1535,2660,7,19,11,0,0,0,0,0,1,3,132164
1495,0,1.2,1,0,1,53,0.9,132,4,4,1225,1885,2310,12,13,6,0,1,0,1,0,0,0,5356
769,1,2.9,0,6,1,36,0.3,189,3,1,1985,1357,3883,8,15,6,1,1,0,0,0,1,3,141845
1315,1,1.5,0,11,0,43,0.6,88,3,3,529,1156,3659,20,18,6,0,1,0,1,0,0,0,2857
1794,1,1.5,1,9,0,34,0.5,166,2,17,1932,1468,774,7,8,10,1,0,0,0,1,0,1,15691
955,1,1.4,0,4,0,52,0.1,193,5,20,1116,2000,2497,17,16,10,1,0,0,1,0,0,0,7526
1985,0,1.9,1,11,0,20,0.6,154,3,9,1815,1605,2619,20,6,16,0,0,0,0,1,0,1,17218
1775,1,0.9,0,17,1,56,0.7,209,3,12,357,1863,1280,15,9,10,1,0,0,0,1,0,0,4285
1516,1,1.9,1,9,1,24,0.6,90,7,11,1419,940,1341,8,3,15,0,1,0,0,0,1,3,88028
795,1,1.9,1,5,1,14,0.8,129,5,1,827,1116,2646,15,9,7,1,0,0,0,1,0,1,11609
1219,0,2.4,1,11,0,64,0.6,242,4,14,59,725,2904,20,2,9,0,1,1,0,0,0,0,8410
837,0,2.6,1,6,0,45,0.2,201,4,13,476,870,1297,19,8,3,0,1,0,1,0,0,0,4682
1378,0,1.6,0,17,0,2,0.2,222,3,9,1749,527,875,8,12,6,0,1,0,0,0,1,2,54472
1576,1,1.3,0,1,1,52,0.6,154,7,7,611,1507,3974,6,0,18,1,1,0,0,1,0,0,5092
1291,1,1.1,1,9,0,30,0.3,110,4,14,0,1494,1650,8,14,11,0,0,0,1,0,0,0,4363
716,0,1.0,1,14,1,25,0.2,171,4,12,1578,515,3125,15,14,15,0,0,0,1,0,0,0,4021
1263,1,0.6,0,11,0,17,0.5,235,6,7,310,1800,3906,16,10,19,0,1,1,0,0,0,0,3356
687,0,1.4,0,16,1,26,0.6,232,7,20,167,832,3932,13,9,2,0,0,0,1,0,0,0,2487
879,0,1.2,1,3,0,56,0.4,171,4,20,191,982,3977,8,6,3,0,0,0,0,0,1,2,45016
992,1,2.9,1,6,1,24,0.7,232,2,13,1057,1065,1850,16,0,5,0,0,0,0,0,1,2,55339
1564,1,1.9,1,8,0,29,0.7,154,1,0,1057,1811,1978,20,6,14,0,1,0,0,1,0,1,14337
1680,1,1.4,1,18,0,48,0.4,171,3,12,1711,613,490,5,4,17,0,1,0,0,1,0,1,14392
514,1,2.0,1,6,1,17,0.8,208,8,7,1440,537,3396,5,15,6,0,1,0,0,0,1,2,49102
564,0,0.8,0,1,1,44,0.7,121,3,17,707,953,702,5,7,11,1,1,0,1,0,0,0,3078
1020,0,1.6,1,5,0,57,0.7,189,2,8,1181,1241,865,18,1,18,0,1,0,1,0,0,0,7474
1867,0,2.1,0,17,1,39,0.6,241,8,12,1780,665,263,9,7,12,0,1,1,0,0,0,0,8422
1652,0,1.7,0,5,0,12,0.1,97,1,2,1523,1193,717,10,13,6,0,1,0,0,1,0,1,13178
1147,0,1.5,0,12,1,4,0.7,156,1,17,365,704,1255,16,3,16,1,0,0,1,0,0,0,2545
1995,1,3.0,1,18,0,16,0.4,212,2,9,1363,1377,1590,10,14,5,0,1,0,1,0,0,0,5287
1586,0,2.7,0,1,1,2,0.9,99,5,4,857,744,389,20,6,8,0,0,0,0,1,0,0,5947
1662,0,2.1,0,11,0,8,0.8,206,5,5,1358,1856,2688,10,19,11,1,1,0,0,0,1,3,112004
1092,0,1.9,0,14,0,2,0.6,154,1,7,1606,1442,311,13,7,5,1,0,0,1,0,0,0,3612
891,1,2.1,0,13,0,50,0.3,141,5,6,326,1919,1248,5,10,6,1,0,1,0,0,0,0,5649
918,1,1.0,1,5,1,33,0.3,111,5,20,113,1320,1639,14,1,6,0,0,0,1,0,0,0,5489
788,1,1.5,1,17,0,10,0.4,245,5,17,796,1006,2250,10,8,12,0,0,0,1,0,0,0,7035
878,1,0.6,0,4,1,30,0.5,107,1,13,918,1423,3441,17,5,20,0,1,1,0,0,0,0,7849
730,0,1.7,0,17,1,27,0.4,153,8,14,1441,1644,1367,12,0,6,0,1,0,0,0,1,2,21377
1517,0,1.9,1,2,1,24,0.6,160,5,9,1491,1782,2441,20,2,9,1,1,1,0,0,0,0,7976
540,1,1.1,1,2,0,46,0.2,101,8,20,1166,909,3435,12,9,8,1,1,1,0,0,0,0,3788
1551,1,2.9,1,9,1,44,1.0,250,3,11,608,809,1779,16,4,9,0,1,0,0,1,0,1,16339
634,0,2.8,0,18,1,30,0.2,243,6,6,308,567,2838,19,11,14,1,1,0,1,0,0,0,3733
700,0,2.3,1,2,1,53,0.9,175,1,6,400,613,399,20,0,6,0,1,0,0,0,1,3,63271
1279,1,1.8,0,11,0,39,0.9,201,2,10,1343,719,3172,19,8,19,0,1,0,1,0,0,0,5125
1429,1,2.7,0,15,1,34,0.6,202,5,12,211,719,2959,7,20,10,0,1,0,0,0,1,2,28128
1556,1,0.8,1,16,1,8,0.8,131,4,14,316,1996,2359,17,12,3,0,1,1,0,0,0,0,3520
1571,1,2.5,0,6,1,13,0.5,243,1,17,184,1229,875,9,18,17,1,1,0,0,1,0,0,3580
1002,0,0.8,1,12,1,32,0.7,235,7,6,1228,1248,2142,14,6,15,1,0,1,0,0,0,0,3300
906,0,2.5,0,1,0,33,0.4,157,2,5,1387,1442,1285,8,15,18,0,0,0,1,0,0,0,3680
1304,0,1.2,1,3,0,55,0.4,243,6,10,1239,885,2845,16,7,7,0,0,0,0,1,0,1,15653
598,1,2.7,0,9,1,21,0.6,149,3,7,245,1821,2750,5,18,4,1,0,0,0,1,0,1,16674
1183,1,2.9,0,6,1,56,0.5,216,8,19,238,1429,2276,13,6,18,1,0,0,1,0,0,0,7968
1225,0,0.9,1,16,1,52,0.6,100,8,0,1828,1776,1664,9,3,14,0,1,0,0,0,1,3,122217
1460,0,1.7,1,19,1,18,0.4,143,7,7,1414,904,3634,6,9,7,1,1,0,0,1,0,1,13237
1112,0,3.0,1,5,0,37,0.4,155,2,7,519,991,3177,16,0,9,1,0,0,0,0,1,2,47496
1985,0,1.7,1,18,0,4,0.2,140,5,18,1613,856,894,6,16,7,1,1,0,0,0,1,3,119770
1142,1,2.7,0,4,0,2,0.1,174,4,2,1859,1951,3629,15,20,17,0,0,0,0,0,1,2,31230
1528,0,2.0,1,9,0,51,0.3,119,5,4,276,714,1912,11,12,7,1,1,0,0,1,0,1,9343
1741,0,1.4,1,8,1,28,0.2,83,2,2,1980,1903,3732,8,18,18,1,1,1,0,0,0,0,3402
1002,0,1.2,0,12,1,54,0.2,110,1,14,1005,1251,2914,5,12,4,1,0,0,0,1,0,0,6013
1266,0,1.0,1,18,0,48,0.8,234,7,13,201,1326,1092,9,8,13,1,0,1,0,0,0,0,7208
897,0,2.4,1,20,0,41,0.1,232,4,20,213,1737,1841,6,4,7,1,0,0,0,1,0,1,11114
1370,0,1.5,0,5,1,34,0.7,148,8,14,605,1621,1035,19,0,8,0,1,1,0,0,0,0,4544
1294,0,1.8,1,3,1,21,0.3,149,7,16,477,1027,1092,11,1,12,1,0,1,0,0,0,0,2653
892,1,1.7,1,2,1,15,0.9,84,7,17,507,1415,2813,20,10,10,1,1,0,0,1,0,1,17011
706,1,1.9,1,2,1,37,0.5,194,4,1,1999,1165,3400,19,3,17,1,1,0,0,0,1,3,147706
1538,1,2.7,1,3,1,6,0.4,170,8,11,1098,1209,3115,13,8,6,1,1,0,0,0,1,2,49442
1391,1,3.0,1,4,0,24,0.6,87,8,15,668,1034,2867,17,4,16,0,1,1,0,0,0,0,4544
1984,0,1.5,1,7,0,46,0.4,88,2,3,664,1053,520,5,4,5,0,0,0,1,0,0,0,5660
1363,1,2.6,0,15,1,61,0.6,94,6,1,1977,827,3554,16,7,6,0,0,0,1,0,0,0,7526
1242,1,2.4,1,2,1,57,0.2,184,6,13,141,1401,1472,6,1,8,1,0,0,0,1,0,0,2910
1764,0,1.9,0,11,0,16,1.0,86,5,10,1613,1688,1653,15,6,4,1,0,0,0,1,0,1,16395
1063,0,2.9,0,7,1,7,0.5,151,2,12,321,1639,2313,20,16,5,0,1,0,0,1,0,1,9424
1520,1,1.0,0,12,0,34,0.4,194,4,6,1717,649,557,10,10,16,0,0,0,1,0,0,0,6690
595,1,0.8,0,3,0,56,0.7,94,2,9,460,1555,3686,12,14,3,0,0,0,0,0,1,3,143283
984,0,2.6,1,13,0,20,0.4,244,4,0,706,1156,2233,11,2,6,0,0,0,0,1,0,1,15705
1930,1,1.6,1,13,0,64,0.8,162,7,20,669,1305,1060,13,12,8,0,0,0,0,1,0,0,8364
730,0,2.6,1,12,1,14,0.5,118,5,3,1169,792,1331,18,17,18,0,1,0,0,0,1,2,47784
1248,0,2.7,0,5,1,30,0.7,213,1,17,53,1418,2031,6,19,9,1,1,1,0,0,0,0,5752
1694,0,0.7,1,16,0,62,0.2,136,7,5,1379,1188,354,16,19,10,1,1,0,0,1,0,1,9832
1040,0,2.7,1,3,1,7,0.9,171,8,1,276,1456,2896,20,2,11,0,1,0,1,0,0,0,5766
1559,1,1.6,1,7,1,16,0.8,160,1,2,1844,1700,3340,13,1,12,1,0,0,1,0,0,0,3944
1024,0,1.8,0,16,1,17,0.3,226,2,13,1618,1584,1669,8,4,2,1,1,0,0,1,0,0,3984
1683,0,2.1,0,2,1,25,0.2,206,4,7,399,915,2233,15,19,16,0,0,0,1,0,0,0,5201
1766,1,2.8,1,16,0,24,0.4,238,1,15,667,1906,612,19,4,9,0,0,0,0,0,1,3,118845
1609,0,0.5,0,8,1,49,1.0,154,7,18,515,1097,1919,7,12,20,1,0,1,0,0,0,0,4805
1077,1,1.7,0,1,0,11,0.3,158,4,17,1522,506,3231,11,7,13,1,0,1,0,0,0,0,8507
1181,1,2.2,1,12,0,55,0.5,89,5,5,1334,1417,266,9,15,7,1,1,0,0,1,0,0,8535
1056,1,2.3,0,19,1,42,0.1,186,7,13,1294,584,336,17,17,11,0,1,0,0,1,0,0,2365
1512,0,2.2,0,1,0,42,0.5,166,8,2,575,1273,3588,9,15,6,1,0,1,0,0,0,0,4894
1145,1,0.8,1,19,1,50,0.6,146,2,15,1472,1456,2309,16,0,8,0,1,1,0,0,0,0,7554
1295,1,1.2,0,10,1,18,1.0,141,4,0,111,1921,3785,17,7,8,0,1,0,0,1,0,0,7529
1551,0,1.4,0,14,0,50,0.6,210,2,11,238,1916,2676,6,20,10,1,0,0,1,0,0,0,4238
1863,1,2.5,0,10,1,57,0.8,225,4,13,1167,1570,2784,10,1,16,0,0,0,0,1,0,1,9968
1854,1,1.2,0,2,0,45,0.6,232,7,18,1397,1864,477,10,4,7,0,1,0,0,0,1,3,131947
1871,1,1.0,0,2,0,46,0.1,186,6,18,1043,1105,2196,16,14,17,0,0,0,0,1,0,1,18515
1996,1,2.9,0,11,1,31,0.4,227,6,8,1599,925,3408,8,13,8,1,1,0,0,1,0,0,2204
1754,1,0.5,0,4,1,45,0.6,172,4,6,1312,925,2202,9,2,16,1,0,0,0,1,0,1,11061
689,0,3.0,0,19,1,47,1.0,165,5,13,1616,1235,770,11,6,3,1,0,0,0,1,0,1,14164
1748,1,2.2,1,6,0,11,0.9,200,2,4,196,1290,3387,18,3,9,0,0,0,0,1,0,0,5416
1908,1,2.6,1,6,1,56,0.3,158,8,17,381,1014,476,12,10,13,1,0,0,0,1,0,0,3276
1900,0,1.2,1,12,0,20,0.3,89,3,8,1604,1652,2652,10,11,12,0,1,0,1,0,0,0,7111
1806,0,0.5,1,8,0,30,0.3,228,4,20,1721,1772,3888,9,14,7,1,1,0,0,1,0,1,18473
1132,0,2.3,0,20,1,3,0.9,108,4,6,1702,1240,483,16,5,14,0,1,1,0,0,0,0,7751
1127,1,2.6,1,12,1,37,0.9,175,6,8,1740,630,2593,7,0,17,1,1,0,0,1,0,1,14111
1472,0,2.4,1,11,1,20,0.8,89,1,3,1515,822,548,11,17,9,1,0,0,1,0,0,0,7288
1782,1,0.9,0,12,0,8,0.5,92,7,16,163,1322,3113,12,13,18,0,0,0,0,0,1,2,41911
1882,1,2.4,0,9,1,27,0.6,126,6,11,605,1042,3520,7,6,14,0,1,1,0,0,0,0,4888
1209,0,2.4,0,0,0,16,0.5,230,2,5,1272,565,1211,9,9,5,1,1,0,0,1,0,0,6309
1979,0,2.1,0,7,1,48,0.3,129,6,17,1091,1217,1753,15,8,11,1,1,0,0,1,0,1,18101
1934,1,2.4,0,15,1,57,0.6,211,3,7,854,1624,1536,6,1,17,0,1,1,0,0,0,0,6890
1148,0,2.6,1,12,0,39,0.1,195,5,20,1044,530,2234,14,7,18,1,1,0,0,1,0,1,15931
817,1,2.0,0,2,0,4,0.2,192,7,14,830,1384,1785,14,0,9,0,0,0,1,0,0,0,8930
1748,0,0.7,1,2,1,39,0.9,164,3,2,1535,690,643,16,19,12,0,1,0,0,1,0,1,18476
1757,0,1.7,1,4,1,64,0.8,132,5,1,596,914,2918,8,1,6,0,1,0,0,0,1,2,43933
1183,0,0.7,0,10,1,17,0.5,209,3,8,1413,1246,3725,16,6,17,0,0,0,1,0,0,0,3105
1163,1,1.5,1,6,1,3,0.6,147,8,7,535,1569,2669,8,15,9,0,0,0,0,1,0,1,17361
1897,0,1.5,1,20,1,32,0.4,158,7,3,110,1612,2961,16,3,17,0,1,0,0,0,1,3,101193
1995,1,0.7,0,9,0,29,0.8,136,6,1,948,874,2593,17,20,5,0,1,1,0,0,0,0,5721
1756,1,1.4,1,9,0,8,0.8,176,3,13,862,1769,3636,12,16,7,0,1,0,1,0,0,0,3757
1636,1,0.8,1,19,0,31,0.8,214,6,1,594,1057,3605,7,3,9,0,0,0,0,1,0,1,13574
941,1,2.5,1,1,0,44,0.8,226,7,1,1893,1780,3791,9,2,10,0,1,0,0,1,0,1,19626
1063,0,2.9,0,2,1,59,0.3,142,6,6,1021,1875,444,20,8,14,0,1,1,0,0,0,0,7118
1791,1,0.7,0,7,0,63,0.4,144,2,11,459,1628,1173,15,14,18,0,0,1,0,0,0,0,4968
1909,1,2.9,0,10,0,8,0.5,118,6,5,1101,1860,1457,9,19,10,0,0,0,1,0,0,0,4508
1910,0,1.8,1,12,0,37,0.4,188,1,17,433,1824,3855,6,2,14,0,0,0,1,0,0,0,8313
1636,1,1.2,0,6,1,30,0.8,105,3,3,1403,1600,1179,13,11,10,0,0,0,1,0,0,0,5888
1451,0,0.7,1,12,0,25,0.4,91,7,18,1675,1753,3291,8,14,7,0,1,0,0,1,0,0,8498
1604,1,1.8,0,1,1,53,0.2,229,4,12,1463,1077,2678,13,19,11,1,0,0,0,1,0,1,12776
1198,0,2.5,1,5,0,40,0.5,156,4,19,887,531,1877,13,7,6,1,0,0,1,0,0,0,3674
612,1,2.3,0,8,1,5,1.0,221,4,20,782,557,1015,6,11,8,0,0,0,0,1,0,1,19931
501,0,0.6,0,19,0,30,0.3,165,7,1,1362,1627,1733,13,20,12,1,1,1,0,0,0,0,3561
1141,1,0.7,1,1,1,45,0.7,109,1,7,987,811,2520,13,12,10,1,0,0,0,0,1,2,56765
719,1,1.5,0,17,0,6,0.5,245,6,18,1447,1590,1321,6,14,11,1,1,0,0,1,0,1,13258
1354,0,1.2,1,15,1,56,0.2,249,3,8,168,1189,449,20,10,12,0,0,0,1,0,0,0,6869
1748,0,1.1,0,11,1,30,0.5,131,5,3,708,1897,1606,15,16,4,0,1,0,0,1,0,1,13041
884,0,1.2,0,6,0,63,0.7,142,5,15,964,734,1652,17,20,9,0,1,1,0,0,0,0,6056
1926,0,2.5,1,6,1,31,0.6,199,7,18,1285,1142,1744,10,11,18,1,1,0,1,0,0,0,7478
1653,1,2.8,1,16,1,30,0.9,184,2,9,726,1635,418,13,19,8,1,0,0,0,0,1,2,55432
1576,1,1.5,1,12,0,27,0.4,241,1,5,1602,1912,531,20,17,13,0,1,0,1,0,0,0,3947
1229,0,2.8,0,10,0,20,0.2,118,3,15,228,1931,619,8,15,17,1,0,0,1,0,0,0,8241
1939,1,1.3,1,5,1,27,0.9,120,6,9,1184,1577,1921,6,2,16,1,0,0,1,0,0,0,8819
746,0,1.7,0,13,0,38,0.4,200,4,12,426,1301,3078,11,8,14,0,1,0,0,1,0,1,9333
1335,0,1.1,1,5,0,28,0.6,187,1,8,121,738,2783,19,6,19,1,0,0,0,0,1,2,49978
1962,1,2.1,1,5,0,31,0.8,244,1,6,148,1818,2992,13,18,19,1,1,1,0,0,0,0,6655
702,1,2.9,1,1,1,52,0.4,144,3,3,851,611,2258,10,4,6,0,0,0,0,1,0,1,11623
1707,1,2.0,1,19,1,54,0.7,197,7,18,704,1611,715,15,18,15,1,1,0,0,0,1,3,61657
622,1,1.4,1,14,1,31,0.2,158,6,3,1766,975,3592,20,9,12,0,0,0,0,0,1,2,24654
900,1,2.1,1,16,1,4,0.4,239,8,18,110,803,2842,15,19,4,0,1,0,0,1,0,1,10005
1266,1,0.8,0,7,1,60,0.2,87,8,18,1680,1828,3277,18,11,18,0,0,0,1,0,0,0,2275
793,1,2.7,1,4,1,59,0.8,176,7,11,1244,789,3713,8,7,13,0,0,0,0,0,1,3,82451
779,0,1.8,0,16,1,44,0.3,97,7,12,1927,707,2388,5,2,4,0,1,1,0,0,0,0,2981
1383,0,1.6,1,19,0,8,0.7,175,2,3,63,1367,1987,8,18,3,0,0,0,0,1,0,0,6517
697,0,2.0,1,0,1,62,0.9,112,7,9,637,1081,1595,7,10,5,0,0,0,0,0,1,3,108136
1481,0,2.1,1,17,1,50,0.6,84,6,20,1753,869,2546,11,7,19,1,1,1,0,0,0,0,8521
1251,0,0.7,0,14,0,58,0.6,206,2,6,1819,719,3796,15,12,15,0,1,1,0,0,0,0,7651
